SealID,TOPPID,SatTagManufacturer,SatTagType,SatTagID,SatTagPTT,SatTagQC,SatTagComment,TDR1Manufacturer,TDR1Type,TDR1ID,TDR1Loc,TDR1QC,TDR1Comments,TDR1Manufacturer,TDR2Type,TDR2ID,TDR2Loc,TDR2QC,TDR2Comments,TDR1Manufacturer,TDR3Type,TDR3ID,TDR3Loc,TDR3QC,TDR3Comment,Other1,Other1Loc,Other1Comment,Other2,Other2Loc,Other2Comment,Other3,Other3Loc,Other3Comment
1133,2006012,Wildlife Computers,SPOT,04S0207,44632,,,Wildlife Computers,Mk9,0490877,Back,,,,,,,,,,,,,,,,,,,,,,,
L178,2006013,SMRU,GPS,10100,13367,,,Wildlife Computers,Mk9,0490952,Back,,,SMRU,GPS,10100,Head,,,,,,,,,,,,,,,,,
1472,2006014,Wildlife Computers,SPOT,04S0215,44639,,,Wildlife Computers,Mk9,0490854,Back,,,,,,,,,,,,,,,HTR,,,Accel,,,,,
R196,2006015,SMRU,GPS,10313,60259,,,Wildlife Computers,Mk9,0490124,Back,,,SMRU,GPS,10313,Head,,,,,,,,,HTR,,,STT,,,,,
1678,2006016,SMRU,GPS,10315,60260,,,Wildlife Computers,Mk9,0490853,Back,,,SMRU,GPS,10315,Head,,,,,,,,,HTR,,,Accel,,,,,
L729,2006017,Wildlife Computers,SPOT,04S0209,44634,,,Wildlife Computers,Mk9,0490850,Back,,,,,,,,,,,,,,,HTR,,,STT,,,,,
R730,2006018,Wildlife Computers,SPOT,04S0210,44635,,,Wildlife Computers,Mk9,0490858,Back,,,,,,,,,,,,,,,HTR,,,STT,,,,,
1733,2006019,SMRU,GPS,10357,37588,,,Wildlife Computers,Mk9,0490152,Back,,,SMRU,GPS,10357,Head,,,,,,,,,HTR,,,,,,,,
M680,2006020,SMRU,GPS,10356,37587,,,Wildlife Computers,Mk9,0490117,Back,,,SMRU,GPS,10356,Head,,,,,,,,,HTR,,,,,,,,
H965,2006021,SMRU,GPS,10360,26341,,,Wildlife Computers,Mk9,0490336,Back,,,SMRU,GPS,10360,Head,,,,,,,,,,,,,,,,,
